"country","iso2","iso3","iso_numeric","g_whoregion","year","priv_new_dx","pub_new_dx"
"Afghanistan","AF","AFG","004","EMR",2010,430,840
"Afghanistan","AF","AFG","004","EMR",2011,819,825
"Afghanistan","AF","AFG","004","EMR",2012,2128,1362
"Afghanistan","AF","AFG","004","EMR",2013,2972,2753
"Afghanistan","AF","AFG","004","EMR",2014,2826,366
"Afghanistan","AF","AFG","004","EMR",2015,771,1523
"Afghanistan","AF","AFG","004","EMR",2016,1175,10644
"Afghanistan","AF","AFG","004","EMR",2017,2410,0
"Afghanistan","AF","AFG","004","EMR",2018,3715,2044
"Afghanistan","AF","AFG","004","EMR",2019,4276,
"Afghanistan","AF","AFG","004","EMR",2020,4843,
"Afghanistan","AF","AFG","004","EMR",2021,6007,
"Afghanistan","AF","AFG","004","EMR",2022,5886,5886
"Afghanistan","AF","AFG","004","EMR",2023,5323,1087
"Angola","AO","AGO","024","AFR",2010,3829,11847
"Angola","AO","AGO","024","AFR",2011,4379,9610
"Angola","AO","AGO","024","AFR",2012,1673,142
"Angola","AO","AGO","024","AFR",2013,2601,411
"Angola","AO","AGO","024","AFR",2014,2713,0
"Angola","AO","AGO","024","AFR",2015,2146,215
"Angola","AO","AGO","024","AFR",2016,2361,58699
"Angola","AO","AGO","024","AFR",2017,1723,1449
"Angola","AO","AGO","024","AFR",2018,5926,694
"Angola","AO","AGO","024","AFR",2019,8279,803
"Angola","AO","AGO","024","AFR",2020,1886,
"Angola","AO","AGO","024","AFR",2023,2360,608
"Bangladesh","BD","BGD","050","SEA",2010,17844,2567
"Bangladesh","BD","BGD","050","SEA",2011,17433,2235
"Bangladesh","BD","BGD","050","SEA",2012,14934,2429
"Bangladesh","BD","BGD","050","SEA",2013,20719,2427
"Bangladesh","BD","BGD","050","SEA",2014,22960,2419
"Bangladesh","BD","BGD","050","SEA",2015,60879,40156
"Bangladesh","BD","BGD","050","SEA",2016,61410,41450
"Bangladesh","BD","BGD","050","SEA",2017,61537,43228
"Bangladesh","BD","BGD","050","SEA",2018,68314,49274
"Bangladesh","BD","BGD","050","SEA",2019,72937,55761
"Bangladesh","BD","BGD","050","SEA",2020,55102,
"Bangladesh","BD","BGD","050","SEA",2021,71027,69694
"Bangladesh","BD","BGD","050","SEA",2022,67583,67598
"Bangladesh","BD","BGD","050","SEA",2023,64704,75938
"Cambodia","KH","KHM","116","WPR",2010,851,315
"Cambodia","KH","KHM","116","WPR",2011,706,15
"Cambodia","KH","KHM","116","WPR",2012,763,
"Cambodia","KH","KHM","116","WPR",2013,660,316
"Cambodia","KH","KHM","116","WPR",2014,465,229
"Cambodia","KH","KHM","116","WPR",2015,,191
"Cambodia","KH","KHM","116","WPR",2016,,191
"Cambodia","KH","KHM","116","WPR",2017,,461
"Cambodia","KH","KHM","116","WPR",2018,,120
"Cambodia","KH","KHM","116","WPR",2019,,107
"Cambodia","KH","KHM","116","WPR",2021,690,
"Cambodia","KH","KHM","116","WPR",2022,3012,
"Cambodia","KH","KHM","116","WPR",2023,3154,
"Democratic Republic of the Congo","CD","COD","180","AFR",2010,,0
"Democratic Republic of the Congo","CD","COD","180","AFR",2011,114290,
